Name,h2,h3,h4,h5,h6,url
",,A-Z People,Contact & Links","Summary,Publications,Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Contact,Location,Summary,Journals,Links,Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information",No data,No data,No data,", http://www.imperial.ac.uk/people/a.thapar09, http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=67"
"A-Z People,Contact & Links,301 Moved Permanently","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information",No data,No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=68, http://loop.frontiersin.org/people/340927/bio"
"A-Z People,Contact & Links,Finder,,","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information,Covid-19,Miss Shabnam Undre","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information,Urology","Note:,Specialises in,About me,Areas of interest,Medical secretaries,Anaesthetists worked with,External resources,Current NHS consultant posts held,Research interests,Personal interests,Awards received,(Additional) Languages spoken,Publications,Courses offered to GPs,Qualifications,Additional training,GMC registration,Post treatment communication,Information for healthcare professionals (Bupa patients only, last 12 months)",COVID-19,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=70, http://www.enherts-tr.nhs.uk/gps-professionals/consultant/urology/undre/, https://finder.bupa.co.uk/Consultant/view/205115/?ql=&printPage=1"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information",No data,No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=70"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information",No data,No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=70"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information",No data,No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=75"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Dr Benjamin W Lamb,Mrs Risha Lane,Dr Tristan R A Lane,Dr Benjamin J Langridge,Dr Ivan Laponogov,Ms Lisa Larsen,Dr Andrew R Latchford,Mr Trevor J Latham,Mr Konstantinos Lathouras,Mr John R Latigo,Mr Christopher R Lattimer,Mr Jeremy Laurance,Dr Mary K Lavelle,Dr Emma Lawrance,Miss Anna E Lawrence-Jones,Dr Jason A Lawson,Mr Graham Lawton,Miss Rebecca Lawton,Dr Helen C Laycock,Dr Clair Le Boutillier,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=33"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Dr Benjamin W Lamb,Mrs Risha Lane,Dr Tristan R A Lane,Dr Benjamin J Langridge,Dr Ivan Laponogov,Ms Lisa Larsen,Dr Andrew R Latchford,Mr Trevor J Latham,Mr Konstantinos Lathouras,Mr John R Latigo,Mr Christopher R Lattimer,Mr Jeremy Laurance,Dr Mary K Lavelle,Dr Emma Lawrance,Miss Anna E Lawrence-Jones,Dr Jason A Lawson,Mr Graham Lawton,Miss Rebecca Lawton,Dr Helen C Laycock,Dr Clair Le Boutillier,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=33"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Miss Kerlann Le Calvez,Dr Damien A Leach,Professor David Leaper,Dr Stephane Ledot,Miss Alice Lee,Ms Grace C Lee,Ms Vickie Lee,Mr Daniel R Leff,Mr Alexander Leigh,Mrs Melanie S Leis,Ms Clare Leon-Villapalos,Mr Jorge Leon-Villapalos,Dr Richard Leonard,Professor Robert Leonard,Dr Anthony P Y Leong,Dr Elaine Leung,Dr Astrid Ellen Leusink,Miss Margaret M Lever,Mr Stefan P Lewandowski,Mr James A Lewis,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=34"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Mr Cedric Maillot,Professor Kath Maitland,Dr Anna Maria Malagoni,Dr Surbhi Malhotra,Mr Georgios Malietzis,Dr Rachita Mallya,Dr Ripple Man,Dr Kavina Manalan,Dr Stefania Manetti,Mrs Raleigh A Mangsat,Dr Victoria L Manning,Emeritus Professor Averil O Mansfield CBE,Mr Stephen W Marchington,Mr Hani J Marcus,Dr Nandor Marczin,Dr Luc G P Marechal,Dr Sheraz R Markar,Miss Ola Markiewicz,Mr Alex Marsh,Mrs Laura Marshall,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=37"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Dr Nina Moderau,Mr Hemel N Modi,Dr Layla Mohammad Hadi,Ms Andrea Mohr,Mr Yasser M A Mohsen,Dr Hayley Moore,Dr Moganaden Moorghen,Dr Morgan Moorghen,Mr Krishna Moorthy,Mr John Morrell,Professor Elias Mossialos,Mrs Georgina Moulton,Mr Osama M AA Moussa,Mr Satvinder Mudan,Dr Aun Muhammad,Ms Madiha Anwar Muhammad,Dr Laura J Muirhead,Dr Christopher J Mullington,Dr Mayur Murali,Mr Jamie Murphy,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=41"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Dr Anoop Patel,Dr Arjun Patel,Dr Bhavesh Patel,Dr Brijesh V Patel,Dr Hardik Patel,Mr Jigna Patel,Ms Naina R Patel,Dr Nikhil Manish Patel,Dr Parind B Patel,Mr Pranav H Patel,Dr Ravi Patel,Dr Ronak Patel,Mr Salil Patel,Mr Vanash M Patel,Dr Angela Pathiraya,Professor Nivritti G Patil,Dr Darren K Patten,Dr Reema Paudel,Miss Elsa Paul,Dr Anastasia Pavlova,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=46"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Dr David J Pinato,Dr Anna Pinto,Dr Michael W Platt MA MB BS FRCA,Dr Jennifer F Ploski,Miss Karen Pontifex,Miss Anna Louise Pouncey BM BCh,BA (Hons.), MRCS (Eng.),Professor Janet T Powell,Miss Sue Powell,Dr Danielle A Power,Dr Philip Pratt,Ms Jessica L Prestt,Professor Patricia M Price,Dr Matthew S Prime,Mr Denys Prociuk,Miss Pantelitsa Protopapa,Dr Ares Protopapas MSc. (DIC) FRCS (Glasg),Mr Philip H L Pucher,Miss Aiysha M C Puri,Mr Sanjay Purkayastha BSc(Hons),MBBS(Hons),MD,FRCS,Professor Sudipta Purkayastha,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=48"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Dr David J Pinato,Dr Anna Pinto,Dr Michael W Platt MA MB BS FRCA,Dr Jennifer F Ploski,Miss Karen Pontifex,Miss Anna Louise Pouncey BM BCh,BA (Hons.), MRCS (Eng.),Professor Janet T Powell,Miss Sue Powell,Dr Danielle A Power,Dr Philip Pratt,Ms Jessica L Prestt,Professor Patricia M Price,Dr Matthew S Prime,Mr Denys Prociuk,Miss Pantelitsa Protopapa,Dr Ares Protopapas MSc. (DIC) FRCS (Glasg),Mr Philip H L Pucher,Miss Aiysha M C Puri,Mr Sanjay Purkayastha BSc(Hons),MBBS(Hons),MD,FRCS,Professor Sudipta Purkayastha,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=48"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Dr Mary E Roddie,Dr Justin Roe,Miss Fiona E V Rohlffs,Mr Jonty Roland,Dr Matthew Rollin,Dr Dalia Rosano,Mr Thomas Rosenbaum,Dr Simon Rowland,Dr Jaya Roy Choudhury,Dr Aruchuna Ruban,Dr Francesca Rubulotta,Mr Branavan Rudran,Dr Annabel Rule,Miss Amelia J Rushton,Dr Stephanie J Russ,Dr Anne-Marie Russell,Mr Matthew Ryan,Dr Sanjeeve Sabharwal,Miss Eirini Sachouli,Mr Hazim Sadideen,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=51"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Professor Isao Sakaida,Mr Sivaguru Salakianathan,Dr Justin Salciccioli,Dr Azeem Saleem,Professor Hesham Saleh,Dr Ali Salehi-Reyhani,Dr Safa Salim,Dr Amit Samani,Mr Amandeep Singh Sandhu,Mr Guri Sandhu,Miss Maria Sani,Dr Ainkaran Santhirasekaram,Mr Alvise Saracco,Mrs Joanne Sarao,Dr Mohammad N Sarwar,Mr Sutharsan Satkunarajah,Dr Brian P Saunders,Dr Georgina Sava,Professor Amulya Saxena,Dr Anwar Abdulfattah A Sayed,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=52"
"A-Z People,Contact & Links,,","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information,Publications,Citations per year,Duplicate citations,Merged citations,Add co-authors,Co-authors,Upload PDF,Follow this author","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Professor Isao Sakaida,Mr Sivaguru Salakianathan,Dr Justin Salciccioli,Dr Azeem Saleem,Professor Hesham Saleh,Dr Ali Salehi-Reyhani,Dr Safa Salim,Dr Amit Samani,Mr Amandeep Singh Sandhu,Mr Guri Sandhu,Miss Maria Sani,Dr Ainkaran Santhirasekaram,Mr Alvise Saracco,Mrs Joanne Sarao,Dr Mohammad N Sarwar,Mr Sutharsan Satkunarajah,Dr Brian P Saunders,Dr Georgina Sava,Professor Amulya Saxena,Dr Anwar Abdulfattah A Sayed,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information,Contact,Location,Summary,Journals,Links,Cited by,View all,Co-authors","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=52, http://www.imperial.ac.uk/people/vanash.patel06, https://scholar.google.co.in/citations?user=e-2xS2sAAAAJ&hl=en"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Professor Isao Sakaida,Mr Sivaguru Salakianathan,Dr Justin Salciccioli,Dr Azeem Saleem,Professor Hesham Saleh,Dr Ali Salehi-Reyhani,Dr Safa Salim,Dr Amit Samani,Mr Amandeep Singh Sandhu,Mr Guri Sandhu,Miss Maria Sani,Dr Ainkaran Santhirasekaram,Mr Alvise Saracco,Mrs Joanne Sarao,Dr Mohammad N Sarwar,Mr Sutharsan Satkunarajah,Dr Brian P Saunders,Dr Georgina Sava,Professor Amulya Saxena,Dr Anwar Abdulfattah A Sayed,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=52"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Professor Isao Sakaida,Mr Sivaguru Salakianathan,Dr Justin Salciccioli,Dr Azeem Saleem,Professor Hesham Saleh,Dr Ali Salehi-Reyhani,Dr Safa Salim,Dr Amit Samani,Mr Amandeep Singh Sandhu,Mr Guri Sandhu,Miss Maria Sani,Dr Ainkaran Santhirasekaram,Mr Alvise Saracco,Mrs Joanne Sarao,Dr Mohammad N Sarwar,Mr Sutharsan Satkunarajah,Dr Brian P Saunders,Dr Georgina Sava,Professor Amulya Saxena,Dr Anwar Abdulfattah A Sayed,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=52"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Dr Pratik Sinha,Dr Yashashwi Sinha,Professor Dudley Sinnett,Mr Mano Sira,Dr Dinesh Sirisena,Dr Alexandros P Siskos,Miss Pirruntha Sivaharan,Dr Alicia Skervin,Dr Ania Skowera,Mr Neil D Slaven,Mr Jason J Smith,Dr Joel B E Smith,Mr Rory K Smith,Miss Sasha K Smith,Dr Alisdair D Smithies,Mr Mikael H Sodergren,Dr Emre Sofyali,Mrs Karen Soltani,Dr Neil Soneji,Dr Neil Soni,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=55"
"A-Z People,Contact & Links","Imperial,Alert,Main Navigation,Department of Surgery and Cancer,About us,Section Information,Useful Links,College Information","Coronavirus (COVID-19) updates: Safety information for academic year 2020-21,Section Navigation,Dr Pratik Sinha,Dr Yashashwi Sinha,Professor Dudley Sinnett,Mr Mano Sira,Dr Dinesh Sirisena,Dr Alexandros P Siskos,Miss Pirruntha Sivaharan,Dr Alicia Skervin,Dr Ania Skowera,Mr Neil D Slaven,Mr Jason J Smith,Dr Joel B E Smith,Mr Rory K Smith,Miss Sasha K Smith,Dr Alisdair D Smithies,Mr Mikael H Sodergren,Dr Emre Sofyali,Mrs Karen Soltani,Dr Neil Soneji,Dr Neil Soni,Imperial College London,Key links,Follow,Information for,Top links,Students,Staff,Imperial partners,A-Z,Address,Follow Imperial,Site Information","Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location,Personal details,Affiliations,Location",No data,No data,", http://www.imperial.ac.uk/department-surgery-cancer/about-us/a-z-people/?instanceid=%2fsurgerycancer%2fabout%2fpeople&pplist-action=people.html&page=55"
